strut_id,label,r_eq_med_um,r_eq_min_um,r_eq_cv,offset_max_vox,tilt_deg,bow_vox,aspect_med,empty_sections,gap_len,gap_interior,border_frac,iou,reachable,detour,geo_len_vox,span_vox
36,nominal,430.60767,395.36798,0.03911,1.13138,0.70707,0.19732,1.52022,0.00000,0.00000,0.00000,0.00000,0.54471,1.00000,0.99634,55.15433,55.35720
37,thick,516.01935,402.12692,0.21908,2.72693,5.93016,0.37806,1.63290,0.00000,0.00000,0.00000,0.36000,0.51016,1.00000,1.00448,55.47217,55.22502
38,nominal,278.60168,220.25398,0.08306,0.86376,0.85129,0.24162,1.37842,0.00000,0.00000,0.00000,0.00000,0.54056,1.00000,0.99542,55.15433,55.40794
39,nominal,375.79688,339.63263,0.04520,1.62032,0.52727,0.17118,1.27627,0.00000,0.00000,0.00000,0.00000,0.55611,1.00000,1.01354,56.15433,55.40422
40,thick,511.82404,450.19061,0.20653,2.57442,2.19109,0.20653,1.50578,0.00000,0.00000,0.00000,0.32000,0.46867,1.00000,0.99634,55.15433,55.35720
41,nominal,361.16876,338.04181,0.05238,1.59971,0.72809,0.15620,1.16618,0.00000,0.00000,0.00000,0.00000,0.52341,1.00000,1.01354,56.15433,55.40422
42,nominal,367.08997,232.16808,0.16021,3.31954,6.94207,0.53923,1.44547,0.00000,0.00000,0.00000,0.00000,0.52054,1.00000,1.01599,56.10784,55.22502
43,nominal,412.71100,349.02515,0.20646,1.34934,2.00636,0.16390,1.51453,0.00000,0.00000,0.00000,0.12000,0.56842,1.00000,0.99341,55.15433,55.52045
44,nominal,300.92422,256.43805,0.06806,1.45650,0.75900,0.24808,1.31519,0.00000,0.00000,0.00000,0.00000,0.54135,1.00000,0.99542,55.15433,55.40794
45,nominal,338.04181,313.21188,0.03911,1.70290,0.26613,0.16468,1.24321,0.00000,0.00000,0.00000,0.00000,0.54513,1.00000,1.01058,56.15433,55.56631
46,nominal,364.14139,344.36090,0.03738,0.72577,0.32665,0.16577,1.16555,0.00000,0.00000,0.00000,0.00000,0.68948,1.00000,0.99341,55.15433,55.52045
47,nominal,415.31488,353.62787,0.26813,2.98630,1.18116,0.24502,1.40362,0.00000,0.00000,0.00000,0.20000,0.51102,1.00000,1.01058,56.15433,55.56631
48,thick,878.56525,812.91986,0.04220,2.78028,nan,nan,1.31304,0.00000,0.00000,0.00000,1.00000,0.41027,1.00000,0.99542,55.15433,55.40794
49,thick,982.26587,918.16528,0.02131,1.37473,nan,nan,1.08239,0.00000,0.00000,0.00000,1.00000,0.35290,1.00000,1.01354,56.15433,55.40422
50,thick,1014.65680,991.00696,0.00639,0.36045,nan,nan,1.01081,0.00000,0.00000,0.00000,1.00000,0.35261,1.00000,0.99542,55.15433,55.40794
51,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.36367,1.00000,1.01354,56.15433,55.40422
52,nominal,421.75427,356.66339,0.19409,1.86878,1.95418,0.19676,1.56394,0.00000,0.00000,0.00000,0.08000,0.51948,1.00000,0.99259,55.15433,55.56631
53,thick,438.05386,388.49149,0.36048,1.79888,1.27892,0.18505,1.45561,0.00000,0.00000,0.00000,0.24000,0.48616,1.00000,1.01142,56.15433,55.52045
54,nominal,341.21600,306.25073,0.04597,1.31955,0.78878,0.20678,1.18774,0.00000,0.00000,0.00000,0.00000,0.59299,1.00000,1.01058,56.15433,55.56631
55,nominal,355.14886,304.48560,0.05636,0.70923,1.22734,0.18358,1.28173,0.00000,0.00000,0.00000,0.00000,0.72072,1.00000,0.99341,55.15433,55.52045
56,thick,442.94846,419.19037,0.12204,1.82242,0.73550,0.25072,1.46845,0.00000,0.00000,0.00000,0.12000,0.50378,1.00000,0.99634,55.15433,55.35720
57,thick,502.25632,424.30264,0.13165,3.17286,1.61836,0.40008,1.52562,0.00000,0.00000,0.00000,0.32000,0.55732,1.00000,1.00448,55.47217,55.22502
58,nominal,338.04181,247.88770,0.14081,3.18558,3.74618,1.21296,1.52056,0.00000,0.00000,0.00000,0.00000,0.53131,1.00000,1.02084,56.37579,55.22502
59,nominal,399.43707,339.63263,0.05629,1.65485,1.30941,0.22214,1.37900,0.00000,0.00000,0.00000,0.00000,0.60291,1.00000,1.00208,55.47217,55.35720
60,nominal,420.47427,399.43707,0.03509,1.06458,0.38406,0.20364,1.50222,0.00000,0.00000,0.00000,0.00000,0.58188,1.00000,0.99634,55.15433,55.35720
61,thick,516.01935,459.66934,0.24252,3.03360,3.19658,0.25099,1.44984,0.00000,0.00000,0.00000,0.32000,0.49146,1.00000,0.99872,55.15433,55.22502
62,nominal,289.97784,262.66821,0.06077,0.98531,0.49651,0.19612,1.37320,0.00000,0.00000,0.00000,0.00000,0.59547,1.00000,0.99542,55.15433,55.40794
63,nominal,362.65814,341.21600,0.03236,1.42235,0.18392,0.13012,1.21982,0.00000,0.00000,0.00000,0.00000,0.54768,1.00000,0.99549,55.15433,55.40422
64,thick,558.16992,458.49524,0.24519,2.39058,1.57394,0.26578,1.39800,0.00000,0.00000,0.00000,0.44000,0.44463,1.00000,0.99634,55.15433,55.35720
65,nominal,356.66339,333.22388,0.05031,1.74226,1.14375,0.25641,1.16511,0.00000,0.00000,0.00000,0.00000,0.53346,1.00000,0.99549,55.15433,55.40422
66,nominal,389.87650,345.92264,0.05553,1.71674,0.25960,0.29241,1.56333,0.00000,0.00000,0.00000,0.00000,0.56654,1.00000,0.99872,55.15433,55.22502
67,thick,482.55231,375.79688,0.21700,2.47937,2.82365,0.28577,1.50387,0.00000,0.00000,0.00000,0.16000,0.49260,1.00000,0.99341,55.15433,55.52045
68,nominal,325.03531,280.52975,0.06596,1.55835,0.15738,0.26197,1.38873,0.00000,0.00000,0.00000,0.00000,0.47756,1.00000,0.99542,55.15433,55.40794
69,nominal,341.21600,320.02161,0.03332,1.53653,0.96130,0.19747,1.20686,0.00000,0.00000,0.00000,0.00000,0.52384,1.00000,0.99259,55.15433,55.56631
70,nominal,355.14886,323.37271,0.03894,0.74382,0.66492,0.14148,1.16270,0.00000,0.00000,0.00000,0.00000,0.72062,1.00000,0.99341,55.15433,55.52045
71,thick,478.06335,382.90140,0.34594,2.50345,2.75172,0.19175,1.42359,0.00000,0.00000,0.00000,0.36000,0.47777,1.00000,0.99259,55.15433,55.56631
72,thick,939.63556,856.82288,0.04254,2.23148,nan,nan,1.17036,0.00000,0.00000,0.00000,1.00000,0.36765,1.00000,0.99542,55.15433,55.40794
73,thick,989.37384,933.88153,0.02635,1.20450,nan,nan,1.06856,0.00000,0.00000,0.00000,1.00000,0.37592,1.00000,0.99549,55.15433,55.40422
74,thick,1017.83929,1015.18799,0.00055,0.04195,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.36951,1.00000,1.01347,56.15433,55.40794
75,thick,1017.83929,1017.83929,0.00000,0.02505,nan,nan,1.00000,0.00000,0.00000,0.00000,1.00000,0.37123,1.00000,1.01354,56.15433,55.40422
